,Band 1,Band 2,Band 3,Band 4,Band 5,Band 6,Band 7,Band 8,Band 9,Band 10,Band 11,Band 12,Band 13,Band 14,Band 15,Band 16,Band 17,Band 18,Band 19,Band 20,Band 21,Band 22
ESample 1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1
ESample 2,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1
ESample 3,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1
DSample 4,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1
DSample 5,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1
B1Sample 6,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0
B1Sample 7,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0
B1Sample 8,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
ASample 9,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0
B1Sample 10,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0
ESample 11,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
ESample 12,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
B1Sample 13,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0
ESample 14,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
ESample 15,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
